login_streak,posts_created,comments_written,upvotes_received,quizzes_completed,buddies_messaged,karma_spent,karma_earned,spam,surprise_unlocked,reward_karma,reason,rarity,box_type,status
2,1,3,2,0,1,6,6,False,False,0,low_karma_diff,,,missed
2,1,3,7,0,7,6,23,False,True,17,posts_created+karma_earned,common,mystery,delivered
4,3,4,15,3,9,24,29,False,True,5,no_reason,common,social,delivered
0,1,3,3,0,1,4,7,False,False,3,low_karma_diff,,,missed
4,9,4,8,1,3,7,22,False,True,15,posts_created+karma_earned,common,mystery,delivered
2,5,19,29,0,5,2,54,False,True,52,upvotes_received,legendary,engagement,delivered
1,9,2,2,2,4,24,30,False,True,6,posts_created+karma_earned,common,mystery,delivered
3,3,20,12,3,15,26,36,False,True,10,upvotes_received,common,engagement,delivered
6,11,6,14,8,5,12,35,False,True,23,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
1,6,8,16,3,12,5,56,False,True,51,upvotes_received,rare,engagement,delivered
5,1,15,12,1,9,11,46,False,True,35,upvotes_received,common,engagement,delivered
2,1,12,15,3,9,29,37,False,True,8,upvotes_received,rare,engagement,delivered
5,14,12,17,6,5,6,66,False,True,60,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,10,4,4,1,0,9,22,False,True,13,posts_created+login_streak,common,comeback,delivered
1,2,5,0,2,5,0,15,False,True,15,posts_created+login_streak,common,comeback,delivered
3,5,5,11,2,7,47,68,False,True,21,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
8,5,5,13,4,8,0,44,False,True,44,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
4,10,12,15,2,8,20,26,False,True,6,no_reason,common,social,delivered
0,1,4,3,0,2,3,6,False,False,3,low_karma_diff,,,missed
1,4,2,4,1,4,20,67,False,True,47,posts_created+login_streak,rare,comeback,delivered
10,5,5,1,5,3,43,53,False,True,10,login_streak+quizzes_completed,rare,streak,delivered
5,8,1,5,0,7,5,72,False,True,67,posts_created+karma_earned,rare,mystery,delivered
3,1,2,0,1,4,1,10,False,True,9,posts_created,common,mystery,delivered
8,9,6,7,1,1,9,27,False,True,18,login_streak+quizzes_completed,rare,streak,delivered
1,2,0,4,0,2,7,8,False,False,1,low_karma_diff,,,missed
1,8,2,0,1,0,40,53,False,True,13,posts_created+login_streak,common,comeback,delivered
1,5,1,4,1,2,2,47,False,True,45,posts_created+login_streak,rare,comeback,delivered
7,1,4,13,4,9,36,45,False,True,9,login_streak+quizzes_completed,rare,streak,delivered
1,8,5,0,2,0,35,52,False,True,17,posts_created+login_streak,common,comeback,delivered
1,4,8,12,2,8,21,27,False,True,6,no_reason,common,social,delivered
1,3,8,8,3,10,22,28,False,True,6,no_reason,common,social,delivered
2,4,8,5,2,7,45,72,False,True,27,posts_created+karma_earned,rare,mystery,delivered
1,4,1,2,2,4,20,70,False,True,50,posts_created+login_streak,rare,comeback,delivered
3,2,4,11,4,10,16,51,False,True,35,login_streak+quizzes_completed,common,streak,delivered
5,0,6,10,2,6,47,64,False,True,17,upvotes_received,common,engagement,delivered
2,4,13,15,2,9,19,48,False,True,29,upvotes_received,rare,engagement,delivered
3,0,8,27,0,11,30,42,False,True,12,upvotes_received,legendary,engagement,delivered
5,12,19,8,6,10,20,29,False,True,9,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,0,1,3,0,2,1,5,False,False,4,low_karma_diff,,,missed
1,6,4,2,1,0,18,26,False,True,8,posts_created+login_streak,common,comeback,delivered
7,1,5,2,2,1,33,39,False,True,6,login_streak+quizzes_completed,rare,streak,delivered
9,6,9,14,7,10,56,66,False,True,10,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
0,4,13,6,2,6,24,29,False,True,5,no_reason,common,social,delivered
9,7,16,15,3,11,30,41,False,True,11,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
10,11,6,11,5,11,12,72,False,True,60,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
10,6,10,14,5,3,9,62,False,True,53,login_streak+quizzes_completed,legendary,streak,delivered
4,4,12,26,2,3,25,35,False,True,10,upvotes_received,legendary,engagement,delivered
8,6,2,11,5,2,51,70,False,True,19,login_streak+quizzes_completed,rare,streak,delivered
0,9,5,9,0,2,20,29,False,True,9,posts_created+karma_earned,common,mystery,delivered
3,5,5,10,4,9,52,70,False,True,18,login_streak+quizzes_completed,common,streak,delivered
5,10,6,8,3,4,22,30,False,True,8,no_reason,common,social,delivered
1,5,2,0,2,5,5,46,False,True,41,posts_created+login_streak,rare,comeback,delivered
7,10,3,14,3,11,3,70,False,True,67,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
4,14,5,15,3,11,29,41,False,True,12,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
3,4,9,3,3,4,4,28,False,True,24,posts_created+karma_earned,common,mystery,delivered
1,6,3,5,1,3,4,26,False,True,22,posts_created+login_streak,rare,comeback,delivered
1,7,3,2,2,1,21,31,False,True,10,posts_created+login_streak,common,comeback,delivered
1,1,4,10,1,3,0,12,False,True,12,posts_created,common,mystery,delivered
1,2,3,1,1,3,1,64,False,True,63,posts_created+login_streak,rare,comeback,delivered
1,4,4,1,2,2,7,18,False,True,11,posts_created+login_streak,common,comeback,delivered
5,7,3,6,1,0,6,17,False,True,11,login_streak+quizzes_completed,common,streak,delivered
5,8,7,5,1,3,35,61,False,True,26,posts_created+karma_earned,common,mystery,delivered
1,4,3,2,2,1,7,32,False,True,25,posts_created+login_streak,rare,comeback,delivered
1,0,2,5,2,3,36,54,True,False,0,spam,,,missed
3,1,11,19,0,11,3,24,False,True,21,upvotes_received,rare,engagement,delivered
2,0,9,15,2,12,34,73,False,True,39,upvotes_received,rare,engagement,delivered
4,7,1,4,2,5,18,36,False,True,18,posts_created+karma_earned,common,mystery,delivered
7,7,18,13,3,14,50,76,False,True,26,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
4,8,11,11,3,5,20,25,False,True,5,no_reason,common,social,delivered
1,8,2,4,1,4,21,30,False,True,9,posts_created+login_streak,common,comeback,delivered
3,3,9,7,1,2,46,68,False,True,22,login_streak+quizzes_completed,common,streak,delivered
8,12,5,18,5,14,13,78,False,True,65,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
7,6,7,2,1,1,10,64,False,True,54,login_streak+quizzes_completed,rare,streak,delivered
10,6,16,16,3,12,6,78,False,True,72,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
2,7,1,5,0,6,15,26,False,True,11,posts_created+karma_earned,common,mystery,delivered
3,5,9,14,3,6,20,25,False,True,5,no_reason,common,social,delivered
0,6,6,1,2,4,16,58,False,True,42,posts_created+karma_earned,rare,mystery,delivered
1,0,0,3,0,0,6,9,False,False,3,low_karma_diff,,,missed
1,9,4,4,2,7,50,56,False,True,6,posts_created+karma_earned,common,mystery,delivered
3,10,4,8,0,7,7,20,False,True,13,posts_created+karma_earned,common,mystery,delivered
5,9,9,3,3,1,8,28,False,True,20,posts_created+karma_earned,common,mystery,delivered
3,2,4,0,3,6,17,38,False,True,21,posts_created+karma_earned,common,mystery,delivered
6,7,9,12,3,6,47,76,False,True,29,login_streak+quizzes_completed,rare,streak,delivered
1,2,18,27,0,7,13,33,False,True,20,upvotes_received,legendary,engagement,delivered
10,11,15,8,8,9,4,37,False,True,33,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
4,9,10,6,3,4,20,26,False,True,6,no_reason,common,social,delivered
8,5,6,14,1,2,48,62,False,True,14,login_streak+quizzes_completed,rare,streak,delivered
10,7,6,13,8,10,16,58,False,True,42,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
4,3,9,13,2,7,24,30,False,True,6,no_reason,common,social,delivered
3,10,9,6,3,9,21,26,False,True,5,no_reason,common,social,delivered
2,2,3,5,0,2,9,9,False,False,0,low_karma_diff,,,missed
0,0,0,5,0,1,2,6,False,False,4,low_karma_diff,,,missed
2,6,10,9,2,5,4,56,False,True,52,posts_created+karma_earned,rare,mystery,delivered
1,9,2,4,1,2,20,26,False,True,6,posts_created+login_streak,common,comeback,delivered
9,2,4,3,4,2,31,61,False,True,30,login_streak+quizzes_completed,legendary,streak,delivered
7,5,15,19,3,15,0,66,False,True,66,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
0,8,4,1,1,3,7,13,False,True,6,posts_created,common,mystery,delivered
1,6,1,2,1,0,7,25,False,True,18,posts_created+login_streak,common,comeback,delivered
4,4,6,8,2,1,54,66,False,True,12,posts_created+karma_earned,common,mystery,delivered
3,8,3,0,3,7,4,18,False,True,14,posts_created+karma_earned,common,mystery,delivered
0,1,0,5,0,2,6,6,False,False,0,low_karma_diff,,,missed
5,8,1,7,1,2,8,22,False,True,14,posts_created+karma_earned,common,mystery,delivered
1,8,4,3,2,5,1,22,False,True,21,posts_created+login_streak,rare,comeback,delivered
0,6,4,6,0,6,7,67,False,True,60,posts_created+karma_earned,rare,mystery,delivered
6,4,1,1,2,6,21,47,False,True,26,login_streak+quizzes_completed,rare,streak,delivered
1,3,16,12,3,7,5,63,False,True,58,upvotes_received,common,engagement,delivered
1,5,3,3,1,1,4,19,False,True,15,posts_created+login_streak,common,comeback,delivered
5,3,4,10,2,0,5,68,False,True,63,posts_created+karma_earned,rare,mystery,delivered
0,5,7,30,2,5,68,77,False,True,9,upvotes_received,legendary,engagement,delivered
0,3,6,22,3,15,51,72,False,True,21,upvotes_received,legendary,engagement,delivered
5,9,9,12,2,5,20,27,False,True,7,no_reason,common,social,delivered
6,3,7,13,3,9,28,65,False,True,37,login_streak+quizzes_completed,rare,streak,delivered
2,0,20,10,1,12,19,40,False,True,21,upvotes_received,common,engagement,delivered
6,7,2,9,5,0,8,58,False,True,50,login_streak+quizzes_completed,rare,streak,delivered
1,9,2,1,1,3,46,61,False,True,15,posts_created+login_streak,common,comeback,delivered
1,3,5,3,1,5,11,22,False,True,11,posts_created+login_streak,common,comeback,delivered
3,5,0,6,1,0,7,14,False,True,7,posts_created,common,mystery,delivered
5,10,11,13,3,5,20,30,False,True,10,no_reason,common,social,delivered
1,6,13,13,3,8,20,26,False,True,6,no_reason,common,social,delivered
3,7,13,13,3,9,23,29,False,True,6,no_reason,common,social,delivered
3,10,6,13,2,6,22,28,False,True,6,no_reason,common,social,delivered
7,2,0,11,2,7,35,62,False,True,27,login_streak+quizzes_completed,rare,streak,delivered
1,1,3,0,0,0,5,8,False,False,3,low_karma_diff,,,missed
0,1,0,3,0,1,9,10,False,False,1,low_karma_diff,,,missed
1,2,3,2,0,6,18,51,False,True,33,posts_created+karma_earned,rare,mystery,delivered
10,4,10,5,3,7,9,51,False,True,42,login_streak+quizzes_completed,legendary,streak,delivered
1,2,2,3,2,5,8,23,False,True,15,posts_created+login_streak,common,comeback,delivered
3,1,5,15,1,15,1,20,False,True,19,upvotes_received,rare,engagement,delivered
1,8,1,3,1,2,6,38,False,True,32,posts_created+login_streak,rare,comeback,delivered
3,7,10,10,3,8,20,25,False,True,5,no_reason,common,social,delivered
3,6,10,4,2,9,8,15,False,True,7,login_streak+quizzes_completed,common,streak,delivered
1,6,16,26,1,11,9,45,False,True,36,upvotes_received,legendary,engagement,delivered
5,6,0,10,1,0,5,57,False,True,52,posts_created+karma_earned,rare,mystery,delivered
3,3,7,9,5,0,6,15,False,True,9,login_streak+quizzes_completed,common,streak,delivered
5,3,6,1,3,5,5,37,False,True,32,posts_created+karma_earned,rare,mystery,delivered
1,4,5,5,2,7,14,35,False,True,21,posts_created+karma_earned,common,mystery,delivered
3,7,10,7,3,6,20,25,False,True,5,no_reason,common,social,delivered
3,7,5,3,1,2,7,29,False,True,22,posts_created+karma_earned,common,mystery,delivered
7,12,11,8,9,9,30,64,False,True,34,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
6,5,11,10,3,9,72,79,False,True,7,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
2,5,0,9,1,7,3,24,False,True,21,posts_created+karma_earned,common,mystery,delivered
1,3,1,0,2,4,7,19,False,True,12,posts_created+login_streak,common,comeback,delivered
1,1,2,4,0,2,6,10,False,False,4,low_karma_diff,,,missed
5,6,8,10,3,8,20,26,False,True,6,no_reason,common,social,delivered
7,6,5,3,3,3,4,25,False,True,21,login_streak+quizzes_completed,rare,streak,delivered
10,6,8,17,10,9,20,69,False,True,49,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
3,0,5,0,4,6,9,57,False,True,48,login_streak+quizzes_completed,common,streak,delivered
4,6,5,9,0,0,37,66,False,True,29,posts_created+karma_earned,rare,mystery,delivered
3,6,5,29,2,6,10,32,False,True,22,upvotes_received,legendary,engagement,delivered
4,4,12,13,0,9,2,34,False,True,32,upvotes_received,common,engagement,delivered
2,9,9,6,2,6,17,41,False,True,24,posts_created+karma_earned,common,mystery,delivered
1,8,5,2,2,0,28,47,False,True,19,posts_created+login_streak,common,comeback,delivered
1,8,5,2,1,4,30,60,False,True,30,posts_created+login_streak,rare,comeback,delivered
2,2,6,26,1,12,30,37,False,True,7,upvotes_received,legendary,engagement,delivered
1,9,2,0,2,0,1,11,False,True,10,posts_created+login_streak,common,comeback,delivered
1,6,8,10,2,6,4,10,False,True,6,posts_created,common,mystery,delivered
1,8,3,2,2,2,41,54,False,True,13,posts_created+login_streak,common,comeback,delivered
